frame.number,ip.src,ip.dst,_ws.col.info
1,10.0.0.4,168.63.129.16,49877 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
2,168.63.129.16,10.0.0.4,80 → 49877 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
3,10.0.0.4,168.63.129.16,49877 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
4,10.0.0.4,168.63.129.16,GET /machine?comp=goalstate HTTP/1.1 
5,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
6,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
7,10.0.0.4,168.63.129.16,49877 → 80 [ACK] Seq=157 Ack=2216 Win=525568 Len=0
8,10.0.0.4,168.63.129.16,49877 → 80 [FIN\, ACK] Seq=157 Ack=2216 Win=525568 Len=0
9,168.63.129.16,10.0.0.4,80 → 49877 [ACK] Seq=2216 Ack=158 Win=4194560 Len=0
10,10.0.0.4,168.63.129.16,49878 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
11,168.63.129.16,10.0.0.4,80 → 49878 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
12,10.0.0.4,168.63.129.16,49878 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
13,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=hostingEnvironmentConfig&incarnation=1 HTTP/1.1 
14,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
15,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
16,10.0.0.4,168.63.129.16,49878 → 80 [ACK] Seq=287 Ack=1612 Win=525568 Len=0
17,10.0.0.4,168.63.129.16,49878 → 80 [FIN\, ACK] Seq=287 Ack=1612 Win=525568 Len=0
18,168.63.129.16,10.0.0.4,80 → 49878 [ACK] Seq=1612 Ack=288 Win=4194304 Len=0
19,10.0.0.4,168.63.129.16,49879 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
20,168.63.129.16,10.0.0.4,80 → 49879 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
21,10.0.0.4,168.63.129.16,49879 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
22,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=hostingEnvironmentConfig&incarnation=1 HTTP/1.1 
23,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
24,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
25,10.0.0.4,168.63.129.16,49879 → 80 [ACK] Seq=287 Ack=1612 Win=525568 Len=0
26,10.0.0.4,168.63.129.16,49879 → 80 [FIN\, ACK] Seq=287 Ack=1612 Win=525568 Len=0
27,168.63.129.16,10.0.0.4,80 → 49879 [ACK] Seq=1612 Ack=288 Win=4194304 Len=0
28,10.0.0.4,168.63.129.16,49880 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
29,168.63.129.16,10.0.0.4,80 → 49880 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
30,10.0.0.4,168.63.129.16,49880 → 80 [ACK] Seq=1 Ack=1 Win=4194560 Len=0
31,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=sharedConfig&incarnation=1 HTTP/1.1 
32,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
33,10.0.0.4,168.63.129.16,49880 → 80 [ACK] Seq=275 Ack=1034 Win=4193536 Len=0
34,10.0.0.4,168.63.129.16,49880 → 80 [FIN\, ACK] Seq=275 Ack=1034 Win=4193536 Len=0
35,168.63.129.16,10.0.0.4,80 → 49880 [ACK] Seq=1034 Ack=276 Win=4194304 Len=0
36,10.0.0.4,168.63.129.16,49881 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
37,168.63.129.16,10.0.0.4,80 → 49881 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
38,10.0.0.4,168.63.129.16,49881 → 80 [ACK] Seq=1 Ack=1 Win=4194560 Len=0
39,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=extensionsConfig&incarnation=1 HTTP/1.1 
40,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
41,168.63.129.16,10.0.0.4,80 → 49881 [ACK] Seq=1441 Ack=279 Win=4194304 Len=1440
42,168.63.129.16,10.0.0.4,80 → 49881 [ACK] Seq=2881 Ack=279 Win=4194304 Len=1440
43,168.63.129.16,10.0.0.4,80 → 49881 [ACK] Seq=4321 Ack=279 Win=4194304 Len=1440
44,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
45,10.0.0.4,168.63.129.16,49881 → 80 [ACK] Seq=279 Ack=5818 Win=4194560 Len=0
46,10.0.0.4,168.63.129.16,49881 → 80 [FIN\, ACK] Seq=279 Ack=5818 Win=4194560 Len=0
47,168.63.129.16,10.0.0.4,80 → 49881 [ACK] Seq=5818 Ack=280 Win=4194304 Len=0
48,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
49,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
50,10.0.0.4,168.63.129.16,49679 → 32526 [ACK] Seq=230 Ack=158 Win=16381 Len=0
51,10.0.0.4,168.63.129.16,POST /HealthService HTTP/1.1 
52,168.63.129.16,10.0.0.4,HTTP/1.1 100 Continue 
53,10.0.0.4,168.63.129.16,POST /HealthService HTTP/1.1 \, JSON (application/json)
54,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK  (text/plain)
55,10.0.0.4,168.63.129.16,49691 → 80 [ACK] Seq=430 Ack=157 Win=2048 Len=0
56,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 
57,168.63.129.16,10.0.0.4,HTTP/1.1 100 Continue 
58,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 \, JSON (application/json)
59,168.63.129.16,10.0.0.4,32526 → 49679 [ACK] Seq=183 Ack=2556 Win=16385 Len=0
60,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
61,10.0.0.4,168.63.129.16,49679 → 32526 [ACK] Seq=2556 Ack=318 Win=16381 Len=0
62,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=3/768\, ttl=128
63,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=3/768\, ttl=115 (request in 62)
64,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=4/1024\, ttl=128
65,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=4/1024\, ttl=115 (request in 64)
66,10.0.0.4,168.63.129.16,49882 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
