ip.src,ip.dst,_ws.col.info
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=37 Ack=181 Win=613 Len=0 TSval=2596041601 TSecr=4270413133
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=144)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=181 Ack=37 Win=2048 Len=0 TSval=4270413213 TSecr=2596041497
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=253 Ack=181 Win=2046 Len=0 TSval=4270413256 TSecr=2596041601
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=253 Ack=217 Win=2048 Len=0 TSval=4270413265 TSecr=2596041615
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=289 Ack=253 Win=2048 Len=0 TSval=4270413287 TSecr=2596041637
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=325 Ack=289 Win=2048 Len=0 TSval=4270413307 TSecr=2596041657
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=361 Ack=325 Win=2048 Len=0 TSval=4270413328 TSecr=2596041678
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=397 Ack=361 Win=2048 Len=0 TSval=4270413348 TSecr=2596041698
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=433 Ack=397 Win=2048 Len=0 TSval=4270413369 TSecr=2596041719
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=469 Ack=433 Win=2048 Len=0 TSval=4270413389 TSecr=2596041738
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=505 Ack=469 Win=2048 Len=0 TSval=4270413410 TSecr=2596041760
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=541 Ack=505 Win=2048 Len=0 TSval=4270413429 TSecr=2596041779
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=613 Ack=541 Win=2048 Len=0 TSval=4270413451 TSecr=2596041800
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=613 Ack=577 Win=2048 Len=0 TSval=4270413469 TSecr=2596041819
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=649 Ack=613 Win=2048 Len=0 TSval=4270413490 TSecr=2596041840
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=685 Ack=649 Win=2048 Len=0 TSval=4270413510 TSecr=2596041860
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=721 Ack=685 Win=2048 Len=0 TSval=4270413533 TSecr=2596041881
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=757 Ack=721 Win=2048 Len=0 TSval=4270413551 TSecr=2596041901
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=793 Ack=757 Win=2048 Len=0 TSval=4270413575 TSecr=2596041924
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=829 Ack=793 Win=2048 Len=0 TSval=4270413595 TSecr=2596041944
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=865 Ack=829 Win=2048 Len=0 TSval=4270413619 TSecr=2596041965
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=901 Ack=865 Win=2048 Len=0 TSval=4270413635 TSecr=2596041985
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=901 Ack=937 Win=613 Len=36 TSval=2596042116 TSecr=4270413639
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=937 Ack=1081 Win=613 Len=0 TSval=2596042127 TSecr=4270413661
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1081 Ack=901 Win=2048 Len=0 TSval=4270413738 TSecr=2596042009
