frame.number,ip.src,ip.dst,_ws.col.info
1,172.16.0.4,8.8.8.8,Echo (ping) request  id=0x1bb9, seq=1/256, ttl=64
2,8.8.8.8,172.16.0.4,Echo (ping) reply    id=0x1bb9, seq=1/256, ttl=116 (request in 1)
3,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
4,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
5,172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=1 Ack=73 Win=981 Len=0 TSval=2596684904 TSecr=4271056493
6,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
7,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
8,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
9,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=109 Ack=37 Win=2048 Len=0 TSval=4271056552 TSecr=2596684904
10,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
11,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
12,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=145 Ack=73 Win=2048 Len=0 TSval=4271056575 TSecr=2596684927
13,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
14,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
15,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=181 Ack=109 Win=2048 Len=0 TSval=4271056594 TSecr=2596684946
16,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
17,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
18,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=217 Ack=145 Win=2048 Len=0 TSval=4271056616 TSecr=2596684968
19,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
20,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
21,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=253 Ack=181 Win=2048 Len=0 TSval=4271056635 TSecr=2596684987
22,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
23,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
24,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=289 Ack=217 Win=2048 Len=0 TSval=4271056657 TSecr=2596685008
25,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
26,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
27,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=325 Ack=253 Win=2048 Len=0 TSval=4271056676 TSecr=2596685028
28,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
29,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
30,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=361 Ack=289 Win=2048 Len=0 TSval=4271056698 TSecr=2596685050
31,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
32,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
33,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=397 Ack=325 Win=2048 Len=0 TSval=4271056717 TSecr=2596685069
34,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
35,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
36,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=433 Ack=361 Win=2048 Len=0 TSval=4271056739 TSecr=2596685091
37,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
38,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
39,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=469 Ack=397 Win=2048 Len=0 TSval=4271056758 TSecr=2596685110
40,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
41,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
42,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=505 Ack=433 Win=2048 Len=0 TSval=4271056780 TSecr=2596685131
43,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
44,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
45,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=541 Ack=469 Win=2048 Len=0 TSval=4271056799 TSecr=2596685150
46,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
47,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
48,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=577 Ack=505 Win=2048 Len=0 TSval=4271056820 TSecr=2596685172
